week,station,PM2p5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2013-02-25,Aotizhongxin,38.26388888888889,57.791666666666664,36.541666666666664,56.75,958.236111111111,37.583333333333336,2.525,1022.7777777777777,-15.666666666666666,0.0,2.130555555555555
2013-02-25,Changping,31.986111111111114,47.15277777777778,31.870772946859905,44.96920289855072,870.3550724637681,45.925724637681164,1.915277777777778,1019.6333333333333,-16.23194444444444,0.0,1.4750000000000003
2013-02-25,Dingling,28.083333333333332,37.81691919191919,15.955314009661835,34.916666666666664,627.8381642512078,49.22222222222222,1.915277777777778,1019.6333333333333,-16.23194444444444,0.0,1.4750000000000003
2013-02-25,Dongsi,45.083333333333336,60.680555555555564,31.68719806763285,60.16002415458937,1165.0368357487923,43.6358695652174,2.2680555555555557,1024.6972222222223,-16.913888888888888,0.0,1.7749999999999995
2013-02-25,Guanyuan,38.47222222222222,55.208333333333336,35.46799516908212,62.85567632850242,1075.7469806763283,38.27777777777778,2.525,1022.7777777777777,-15.666666666666666,0.0,2.130555555555555
2013-02-25,Gucheng,41.958333333333336,62.76388888888889,30.741545893719803,38.382850241545896,1566.105072463768,50.14070048309179,3.025,1020.7611111111111,-16.006944444444446,0.0,1.6125000000000005
2013-02-25,Huairou,32.625,44.833333333333336,31.4197961352657,36.74898858695652,683.3792270531402,47.01858043478261,0.9791666666666669,1019.6194444444444,-16.886111111111113,0.0,2.093055555555556
2013-02-25,Nongzhanguan,46.65277777777778,61.34722222222223,35.63828502415459,66.03804347826087,1212.1787439613527,43.611111111111114,2.2680555555555557,1024.6972222222223,-16.913888888888888,0.0,1.7749999999999995
2013-02-25,Shunyi,39.06944444444445,47.557367149758456,18.027777777777775,41.958333333333336,1007.641304347826,42.47886473429951,1.8847222222222226,1025.3819444444446,-16.230555555555558,0.0,2.045833333333334
2013-02-25,Tiantan,46.125,57.61111111111111,30.557971014492754,51.673309178743956,1137.913647342995,39.68055555555556,2.2680555555555557,1024.6972222222223,-16.913888888888888,0.0,1.7749999999999995
2013-02-25,Wanliu,39.06944444444444,62.22222222222222,32.03683574879227,64.3671497584541,1126.1896135265702,25.365942028985504,2.525,1022.7777777777777,-15.666666666666666,0.0,2.130555555555555
2013-02-25,Wanshouxigong,44.986111111111114,60.72222222222223,32.367149758454104,52.336956521739125,1069.7512077294687,32.18357487922705,2.6680555555555556,1021.8972222222224,-15.654166666666667,0.0,1.6861111111111111
2013-03-04,Aotizhongxin,139.42857142857142,198.22670807453417,65.04799399585922,97.58597960662526,2026.4740965556186,59.52976190476191,7.797619047619049,1008.9589285714286,-7.088690476190478,0.0,2.006547619047619
2013-03-04,Changping,119.22619047619047,161.82738095238096,51.682533747412016,73.3855150621118,1820.1490683229815,78.02380952380952,8.389285714285714,1005.8017857142856,-8.870833333333334,0.0,1.8488095238095235
2013-03-04,Dingling,102.41666666666666,143.60770750988144,31.72312028985507,53.788598240165626,1141.5499482401658,82.77380952380952,8.389285714285714,1005.8017857142856,-8.870833333333334,0.0,1.8488095238095235
2013-03-04,Dongsi,134.9107142857143,180.4813664596273,58.07946501035197,112.15102406832297,2275.9254658385094,74.80357142857143,8.245238095238097,1010.7892857142857,-8.488095238095237,0.0,1.9107142857142858
2013-03-04,Guanyuan,129.82738095238096,174.50108225108224,64.79204844720496,106.23185217391304,2189.9653209109733,71.65476190476191,7.797619047619049,1008.9589285714286,-7.088690476190478,0.0,2.006547619047619
2013-03-04,Gucheng,128.61309523809524,196.29761904761904,56.00996915113872,93.51776249596676,2032.1185535479017,76.02380952380953,8.32738095238095,1006.9613095238095,-7.663690476190475,0.0,1.3750000000000002
2013-03-04,Huairou,112.84496956677408,149.75974025974025,46.83899772256729,68.6688341873706,1471.8624835309618,80.95238095238095,6.3761904761904775,1005.9178571428572,-8.589880952380954,0.0,1.9732142857142858
2013-03-04,Nongzhanguan,132.92261904761907,174.91666666666666,64.63416666666666,105.58882142857145,2212.752070393375,72.17261904761905,8.245238095238097,1010.7892857142857,-8.488095238095237,0.0,1.9107142857142858
2013-03-04,Shunyi,137.65,165.70621118012423,55.17429516818585,79.07188623390068,1977.7652019305747,64.95833333333334,7.310119047619047,1011.4833333333333,-7.4541666666666675,0.0,2.0976190476190477
2013-03-04,Tiantan,130.3843537414966,167.44499341238472,51.247388932806324,86.01487734801431,2339.706336882579,79.83928571428571,8.245238095238097,1010.7892857142857,-8.488095238095237,0.0,1.9107142857142858
2013-03-04,Wanliu,134.16666666666666,199.35969387755102,56.78691552795031,96.96380592650102,2576.7472708450973,45.05952380952381,7.797619047619049,1008.9589285714286,-7.088690476190478,0.0,2.006547619047619
2013-03-04,Wanshouxigong,137.25,184.08333333333334,59.762516563146995,87.67928685300207,2307.843167701864,68.61904761904762,8.142857142857142,1008.0857142857145,-7.485714285714285,0.0,1.649404761904762
2013-03-11,Aotizhongxin,157.07142857142858,177.18452380952382,57.41666666666667,81.95238095238096,1713.5732401656314,65.7202380952381,6.40297619047619,1014.2339285714286,-2.27797619047619,0.017261904761904763,1.5994047619047618
2013-03-11,Changping,153.27380952380955,166.125,54.386904761904766,79.15476190476191,1755.0716873706006,76.89880952380952,6.120238095238094,1011.1255952380953,-4.038095238095238,0.0125,1.3660714285714286
2013-03-11,Dingling,163.25,158.5119047619048,38.30952380952381,69.17099230996747,1519.0065640880857,80.16666666666667,6.120238095238094,1011.1255952380953,-4.038095238095238,0.0125,1.3660714285714286
2013-03-11,Dongsi,158.16071428571428,165.55357142857142,55.47619047619048,94.05357142857143,1602.1938775510205,77.58333333333334,6.582738095238095,1016.1964285714286,-3.225,0.03154761904761904,1.4875
2013-03-11,Guanyuan,145.32738095238093,162.82142857142858,67.39880952380953,87.25,1840.202122153209,77.1190476190476,6.40297619047619,1014.2339285714286,-2.27797619047619,0.017261904761904763,1.5994047619047618
2013-03-11,Gucheng,162.99404761904765,183.1547619047619,53.422619047619044,98.19047619047619,2083.8196169772255,75.90476190476191,6.52797619047619,1012.2577380952381,-2.755952380952382,0.01964285714285714,1.1089285714285713
2013-03-11,Huairou,154.54166666666669,159.6547619047619,44.88095238095239,77.46428571428571,1554.1385751929229,71.47023809523809,4.964880952380953,1011.2607142857144,-4.2375,0.008333333333333335,1.6577380952380953
2013-03-11,Nongzhanguan,155.08928571428572,155.7075569358178,62.44642857142856,89.11309523809526,1809.2971014492755,78.58928571428571,6.582738095238095,1016.1964285714286,-3.225,0.03154761904761904,1.4875
2013-03-11,Shunyi,153.79166666666666,156.86904761904762,45.375,71.9702380952381,1609.2839026915112,67.13095238095238,6.0142857142857125,1016.922619047619,-3.258928571428572,0.016666666666666666,1.6696428571428572
2013-03-11,Tiantan,153.82738095238093,158.41071428571428,51.91149068322982,72.67857142857142,1833.656462585034,77.59523809523809,6.582738095238095,1016.1964285714286,-3.225,0.03154761904761904,1.4875
2013-03-11,Wanliu,165.5,189.75595238095238,60.086956521739125,104.78950216450218,2048.235766045549,53.172619047619044,6.40297619047619,1014.2339285714286,-2.27797619047619,0.017261904761904763,1.5994047619047618
2013-03-11,Wanshouxigong,146.7797619047619,155.55357142857142,59.06547619047618,74.21428571428571,1891.5181159420288,64.98214285714286,6.6136904761904765,1013.3744047619047,-2.636904761904762,0.03928571428571428,1.331547619047619
2013-03-18,Aotizhongxin,67.32142857142858,92.51190476190477,19.75,55.160714285714285,1070.0416666666667,38.512541497270846,4.535119047619047,1009.7827380952382,-5.529761904761904,0.0988095238095238,2.416666666666667
2013-03-18,Changping,52.351190476190474,71.60714285714285,11.017857142857142,36.01190476190476,821.7738095238094,50.92340864389234,4.301785714285715,1006.6999999999999,-6.970238095238096,0.125,2.0107142857142857
2013-03-18,Dingling,51.726190476190474,59.154761904761905,8.458333333333332,25.976190476190478,581.4596273291926,62.23821252587992,4.301785714285715,1006.6999999999999,-6.970238095238096,0.125,2.0107142857142857
2013-03-18,Dongsi,65.5297619047619,84.22619047619048,17.94047619047619,49.55357142857143,888.14209486166,48.965312370600415,4.603571428571429,1011.7857142857141,-7.141071428571428,0.061309523809523814,2.5071428571428567
2013-03-18,Guanyuan,63.27380952380952,79.23809523809523,18.392857142857142,48.31547619047619,908.2300724637681,50.46788623188406,4.535119047619047,1009.7827380952382,-5.529761904761904,0.0988095238095238,2.416666666666667
2013-03-18,Gucheng,68.58928571428571,92.83333333333333,13.791666666666666,52.077380952380956,961.6457039337474,49.94952608695652,4.789880952380953,1007.7666666666667,-6.405357142857143,0.06964285714285713,1.6863095238095238
2013-03-18,Huairou,57.083333333333336,67.70833333333334,13.767857142857144,33.14484126984127,708.2345265337256,54.897247877846794,3.6410714285714287,1006.7749999999999,-7.047619047619048,0.06904761904761904,2.4291666666666667
2013-03-18,Nongzhanguan,60.61309523809524,75.85714285714286,19.517857142857142,50.76190476190476,863.0484635501798,50.736334057971014,4.603571428571429,1011.7857142857141,-7.141071428571428,0.061309523809523814,2.5071428571428567
2013-03-18,Shunyi,57.60714285714285,67.48214285714286,11.386904761904761,39.68944099378882,843.505928853755,48.99930735930736,4.073214285714286,1012.5107142857144,-6.405952380952381,0.0732142857142857,2.4232142857142853
2013-03-18,Tiantan,64.65476190476191,74.98214285714286,18.148809523809526,45.81547619047619,991.4860248447204,49.82083814699793,4.603571428571429,1011.7857142857141,-7.141071428571428,0.061309523809523814,2.5071428571428567
2013-03-18,Wanliu,64.69642857142858,85.93452380952381,24.297619047619044,72.23007246376812,927.277323744143,35.802609090909094,4.535119047619047,1009.7827380952382,-5.529761904761904,0.0988095238095238,2.406547619047619
2013-03-18,Wanshouxigong,64.75000000000001,84.2142857142857,18.922619047619047,43.38095238095237,972.611801242236,40.14245683229814,4.922023809523809,1008.8809523809524,-6.5011904761904775,0.06547619047619048,2.143452380952381
2013-03-25,Aotizhongxin,107.33333333333334,145.42261904761904,40.69012605042017,72.24404761904762,1281.6672077922078,29.40051485507246,6.991071428571429,1012.8297619047618,-3.7624999999999997,0.0,1.9220238095238094
2013-03-25,Changping,99.5,126.85119047619047,24.53571428571428,55.45833333333333,1412.422289666855,39.31346666666666,6.514285714285713,1009.6440476190476,-6.28452380952381,0.0,1.7761904761904763
2013-03-25,Dingling,94.41071428571429,108.48809523809526,22.6547619047619,43.095238095238095,1000.9013269339357,54.85073519668737,6.514285714285713,1009.6440476190476,-6.28452380952381,0.0,1.7761904761904763
2013-03-25,Dongsi,102.5486542443064,124.61257763975155,31.503577489177495,59.056614069264064,1238.50670995671,42.208489548546694,7.305952380952381,1014.667261904762,-5.0321428571428575,0.0,2.056547619047619
2013-03-25,Guanyuan,99.98214285714285,131.16666666666666,36.714285714285715,57.94642857142858,1183.0848861283644,47.7430852484472,6.991071428571429,1012.8297619047618,-3.7624999999999997,0.0,1.9220238095238094
2013-03-25,Gucheng,103.83333333333334,148.61904761904765,32.71507142857143,74.86842202380953,1383.3020186335402,38.029273964803316,7.086904761904762,1010.7321428571428,-5.166071428571429,0.0,1.4607142857142859
