date,station,PM2p5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2013-03-01,Aotizhongxin,7.125,10.75,11.708333333333334,22.583333333333332,429.1666666666667,63.875,1.3916666666666668,1026.8749999999998,-18.74583333333333,0.0,3.254166666666666
2013-03-01,Changping,5.083333333333333,18.958333333333332,16.041666666666668,15.333333333333334,387.5,77.79166666666667,0.8125000000000003,1023.8583333333335,-19.583333333333332,0.0,2.1333333333333337
2013-03-01,Dingling,6.375,6.409090909090909,3.0,2.625,204.16666666666666,81.95833333333333,0.8125000000000003,1023.8583333333335,-19.583333333333332,0.0,2.1333333333333337
2013-03-01,Dongsi,6.416666666666667,9.875,8.478260869565217,28.52173913043478,395.6521739130435,72.78260869565217,1.3250000000000002,1028.7833333333333,-21.466666666666665,0.0,3.3083333333333322
2013-03-01,Guanyuan,7.541666666666667,11.666666666666666,8.5,28.5,400.0,63.166666666666664,1.3916666666666668,1026.8749999999998,-18.74583333333333,0.0,3.254166666666666
2013-03-01,Gucheng,8.625,16.875,7.391304347826087,14.25,869.5652173913044,77.1304347826087,1.691666666666667,1024.8166666666666,-19.69166666666667,0.0,2.350000000000001
2013-03-01,Huairou,7.541666666666667,12.375,15.956521739130435,12.35,339.1304347826087,78.21739130434783,0.016666666666666257,1023.7833333333334,-21.941666666666666,0.0,2.933333333333333
2013-03-01,Nongzhanguan,6.458333333333333,10.833333333333334,9.25,27.708333333333332,341.6666666666667,72.08333333333333,1.3250000000000002,1028.7833333333333,-21.466666666666665,0.0,3.3083333333333322
2013-03-01,Shunyi,8.083333333333334,9.333333333333334,3.0,13.0,352.17391304347825,62.47826086956522,0.5416666666666666,1029.6416666666667,-20.6375,0.0,3.1666666666666674
2013-03-01,Tiantan,8.625,14.458333333333334,8.875,21.583333333333332,450.0,68.08333333333333,1.3250000000000002,1028.7833333333333,-21.466666666666665,0.0,3.3083333333333322
2013-03-01,Wanliu,8.0,14.291666666666666,11.652173913043478,32.43478260869565,395.6521739130435,46.34782608695652,1.3916666666666668,1026.8749999999998,-18.74583333333333,0.0,3.254166666666666
2013-03-01,Wanshouxigong,8.041666666666666,10.75,7.434782608695652,18.26086956521739,326.0869565217391,57.21739130434783,2.0625000000000004,1025.9041666666667,-19.708333333333332,0.0,2.6083333333333334
2013-03-02,Aotizhongxin,30.75,42.083333333333336,36.625,66.66666666666667,824.9166666666666,29.75,0.6166666666666666,1026.8500000000001,-15.9375,0.0,1.479166666666666
2013-03-02,Changping,33.333333333333336,39.833333333333336,41.69565217391305,60.78260869565217,969.5652173913044,28.652173913043477,-0.3958333333333332,1023.7291666666669,-16.116666666666664,0.0,0.9291666666666667
2013-03-02,Dingling,34.041666666666664,41.708333333333336,25.083333333333332,56.375,875.0,24.708333333333332,-0.3958333333333332,1023.7291666666669,-16.116666666666664,0.0,0.9291666666666667
2013-03-02,Dongsi,30.5,40.583333333333336,28.291666666666668,58.5,966.5833333333334,37.791666666666664,0.49166666666666675,1028.8500000000001,-16.962500000000002,0.0,0.7916666666666666
2013-03-02,Guanyuan,26.375,34.875,28.695652173913043,63.608695652173914,860.7826086956521,35.166666666666664,0.6166666666666666,1026.8500000000001,-15.9375,0.0,1.479166666666666
2013-03-02,Gucheng,36.916666666666664,51.375,37.291666666666664,37.56521739130435,1479.0416666666667,39.583333333333336,0.8208333333333333,1024.9,-16.337500000000002,0.0,1.0875
2013-03-02,Huairou,32.708333333333336,41.375,40.0112,49.8534875,765.1739130434783,35.00501666666667,-0.9916666666666668,1023.6875,-16.24166666666667,0.0,1.5750000000000004
2013-03-02,Nongzhanguan,28.75,37.708333333333336,33.95652173913044,64.73913043478261,986.8695652173913,40.166666666666664,0.49166666666666675,1028.8500000000001,-16.962500000000002,0.0,0.7916666666666666
2013-03-02,Shunyi,32.625,38.130434782608695,20.208333333333332,47.583333333333336,920.8333333333334,40.416666666666664,0.08333333333333341,1029.4666666666667,-16.275000000000002,0.0,1.3458333333333334
2013-03-02,Tiantan,31.708333333333332,37.041666666666664,27.17391304347826,50.47826086956522,934.7826086956521,34.041666666666664,0.49166666666666675,1028.8500000000001,-16.962500000000002,0.0,0.7916666666666666
2013-03-02,Wanliu,29.083333333333332,41.625,34.25,73.70833333333333,908.3333333333334,17.666666666666668,0.6166666666666666,1026.8500000000001,-15.9375,0.0,1.479166666666666
2013-03-02,Wanshouxigong,30.916666666666668,40.958333333333336,30.958333333333332,50.333333333333336,879.1666666666666,27.833333333333332,0.6791666666666668,1026.0208333333333,-15.475000000000001,0.0,1.0625000000000002
2013-03-03,Aotizhongxin,76.91666666666667,120.54166666666667,61.291666666666664,81.0,1620.625,19.125,5.566666666666666,1014.608333333333,-12.316666666666668,0.0,1.6583333333333332
2013-03-03,Changping,57.541666666666664,82.66666666666667,37.875,58.791666666666664,1254.0,31.333333333333332,5.3291666666666675,1011.3124999999997,-12.995833333333332,0.0,1.3625
2013-03-03,Dingling,43.833333333333336,65.33333333333333,19.782608695652176,45.75,804.3478260869565,41.0,5.3291666666666675,1011.3124999999997,-12.995833333333332,0.0,1.3625
2013-03-03,Dongsi,98.33333333333333,131.58333333333334,58.291666666666664,93.45833333333333,2132.875,20.333333333333332,4.9875,1016.4583333333335,-12.3125,0.0,1.2249999999999999
2013-03-03,Guanyuan,81.5,119.08333333333333,69.20833333333333,96.45833333333333,1966.4583333333333,16.5,5.566666666666666,1014.608333333333,-12.316666666666668,0.0,1.6583333333333332
2013-03-03,Gucheng,80.33333333333333,120.04166666666667,47.541666666666664,63.333333333333336,2349.7083333333335,33.708333333333336,6.5625,1012.5666666666666,-11.991666666666665,0.0,1.4000000000000001
2013-03-03,Huairou,57.625,80.75,38.291666666666664,48.04347826086956,945.8333333333334,27.833333333333332,3.912500000000001,1011.3874999999999,-12.475,0.0,1.7708333333333337
2013-03-03,Nongzhanguan,104.75,135.5,63.708333333333336,105.66666666666667,2308.0,18.583333333333332,4.9875,1016.4583333333335,-12.3125,0.0,1.2249999999999999
2013-03-03,Shunyi,76.5,95.20833333333333,30.875,65.29166666666667,1749.9166666666667,24.541666666666668,5.029166666666668,1017.0375,-11.779166666666669,0.0,1.625
2013-03-03,Tiantan,98.04166666666667,121.33333333333333,55.625,82.95833333333333,2028.9583333333333,16.916666666666668,4.9875,1016.4583333333335,-12.3125,0.0,1.2249999999999999
2013-03-03,Wanliu,80.125,130.75,50.208333333333336,86.95833333333333,2074.5833333333335,12.083333333333334,5.566666666666666,1014.608333333333,-12.316666666666668,0.0,1.6583333333333332
2013-03-03,Wanshouxigong,96.0,130.45833333333334,58.708333333333336,88.41666666666667,2004.0,11.5,5.262499999999998,1013.7666666666669,-11.779166666666663,0.0,1.3875
2013-03-04,Aotizhongxin,22.708333333333332,44.583333333333336,22.869565217391305,46.95652173913044,617.3913043478261,53.75,9.9625,1017.65,-11.683333333333335,0.0,2.4041666666666672
2013-03-04,Changping,20.791666666666668,36.166666666666664,22.375,30.25,583.3333333333334,66.45833333333333,9.2375,1014.404166666667,-13.466666666666667,0.0,2.3833333333333333
2013-03-04,Dingling,17.541666666666668,28.91304347826087,9.166666666666666,16.5,400.0,76.91666666666667,9.2375,1014.404166666667,-13.466666666666667,0.0,2.3833333333333333
2013-03-04,Dongsi,24.291666666666668,40.875,16.511799999999997,47.671641666666666,869.5652173913044,62.291666666666664,10.5625,1019.4541666666665,-14.0,0.0,2.5041666666666664
2013-03-04,Guanyuan,18.25,41.958333333333336,20.208333333333332,51.333333333333336,625.0,54.5,9.9625,1017.65,-11.683333333333335,0.0,2.4041666666666672
2013-03-04,Gucheng,26.5,51.291666666666664,18.666666666666668,32.666666666666664,1170.6666666666667,67.25,9.795833333333333,1015.6083333333335,-11.945833333333335,0.0,1.5416666666666667
2013-03-04,Huairou,19.105263157894736,45.875,25.708333333333332,35.125,524.9583333333334,55.916666666666664,7.108333333333334,1014.4874999999998,-13.100000000000003,0.0,1.8875
2013-03-04,Nongzhanguan,22.875,35.083333333333336,14.666666666666666,49.541666666666664,674.9583333333334,62.458333333333336,10.5625,1019.4541666666665,-14.0,0.0,2.5041666666666664
2013-03-04,Shunyi,19.833333333333332,33.04347826086956,13.083333333333334,43.291666666666664,791.5833333333334,55.125,8.9375,1020.1166666666668,-12.4375,0.0,2.091666666666667
2013-03-04,Tiantan,22.333333333333332,37.583333333333336,16.583333333333332,42.041666666666664,895.7916666666666,53.125,10.5625,1019.4541666666665,-14.0,0.0,2.5041666666666664
2013-03-04,Wanliu,22.875,52.375,27.083333333333332,66.83333333333333,829.0833333333334,31.75,9.9625,1017.65,-11.683333333333335,0.0,2.4041666666666672
2013-03-04,Wanshouxigong,23.125,38.666666666666664,18.916666666666668,43.666666666666664,754.0416666666666,42.458333333333336,9.4375,1016.8249999999999,-11.812499999999995,0.0,1.7125000000000004
2013-03-05,Aotizhongxin,148.875,183.79166666666666,93.875,132.83333333333334,2357.9583333333335,68.45833333333333,6.291666666666667,1010.9000000000002,-7.524999999999999,0.0,1.1291666666666667
2013-03-05,Changping,106.95833333333333,125.16666666666667,50.708333333333336,75.29166666666667,1641.3333333333333,88.75,6.4624999999999995,1007.7958333333335,-9.000000000000002,0.0,0.7666666666666666
2013-03-05,Dingling,105.375,117.20833333333333,36.375,58.375,1187.375,86.5,6.4624999999999995,1007.7958333333335,-9.000000000000002,0.0,0.7666666666666666
2013-03-05,Dongsi,154.25,183.16666666666666,82.0,140.04347826086956,2447.608695652174,83.04166666666667,7.212500000000001,1012.7041666666668,-7.783333333333332,0.0,0.9125000000000001
2013-03-05,Guanyuan,141.16666666666666,163.70833333333334,83.375,134.75,2483.0833333333335,78.79166666666667,6.291666666666667,1010.9000000000002,-7.524999999999999,0.0,1.1291666666666667
2013-03-05,Gucheng,136.70833333333334,172.54166666666666,75.1304347826087,73.5,1381.5454545454545,84.375,6.749999999999999,1008.8833333333333,-7.741666666666664,0.0,0.8416666666666668
